ENRICHMENT_ID,CALL_ID,SENTIMENT_SCORE,SENTIMENT_LABEL,CALL_SUMMARY,DISPOSITION_CLASS,FOLLOW_UP_ACTION,CUSTOMER_OBJECTIONS,APPOINTMENT_DATE_EXTRACTED,MODEL_VERSION,PROCESSED_AT,CREATED_AT
ENR000001,CALL000001,0.357,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Mark as do-not-call and update CRM,Too busy right now,,cortex-llm-v1.2,2024-01-30 16:10:45,2024-01-30 16:09:45
ENR000002,CALL000002,0.274,neutral,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Escalate to service manager,Too busy right now,,cortex-llm-v1.2,2024-01-18 08:59:10,2024-01-18 08:50:10
ENR000003,CALL000003,0.001,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,No follow-up needed — appointment confirmed,,2024-01-11,cortex-llm-v1.2,2024-01-05 12:31:57,2024-01-05 12:29:57
ENR000004,CALL000004,0.12,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,No follow-up needed — appointment confirmed,,,cortex-llm-v1.2,2024-01-30 13:24:58,2024-01-30 13:03:58
ENR000005,CALL000005,0.65,positive,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Escalate to service manager,Too busy right now,,cortex-llm-v1.2,2024-01-14 10:58:47,2024-01-14 10:57:47
ENR000006,CALL000006,-0.297,neutral,Agent discussed lease maturity options with the customer regarding their 2021 Toyota and scheduled a sales consultation on January 28.,sales_appointment,Add to retention campaign,,2024-01-28,cortex-llm-v1.2,2024-01-19 17:49:00,2024-01-19 17:47:00
ENR000007,CALL000007,0.183,neutral,Agent reminded the customer about their overdue oil change for their 2021 Chevrolet Accord and scheduled service on January 13.,service_appointment,Send recall information via email,,2024-01-13,cortex-llm-v1.2,2024-01-05 14:32:17,2024-01-05 14:30:17
ENR000008,CALL000008,0.345,positive,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Transfer to sales team,Too expensive,,cortex-llm-v1.2,2024-01-18 14:26:21,2024-01-18 14:10:21
ENR000009,CALL000009,0.062,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Add to retention campaign,Just had service done,,cortex-llm-v1.2,2024-01-26 12:22:26,2024-01-26 11:55:26
ENR000010,CALL000010,0.246,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Transfer to sales team,,,cortex-llm-v1.2,2024-01-28 14:26:29,2024-01-28 14:14:29
ENR000011,CALL000011,0.413,positive,Agent discussed lease maturity options with the customer regarding their 2020 Toyota and scheduled a sales consultation on January 11.,sales_appointment,Log callback for 2 weeks,,2024-01-11,cortex-llm-v1.2,2024-01-08 17:11:15,2024-01-08 16:48:15
ENR000012,CALL000012,0.234,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Mark as do-not-call and update CRM,,,cortex-llm-v1.2,2024-01-29 14:00:14,2024-01-29 13:47:14
ENR000013,CALL000013,0.51,positive,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Send service coupon via email,,2024-01-27,cortex-llm-v1.2,2024-01-26 10:17:57,2024-01-26 10:10:57
ENR000014,CALL000014,0.144,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Schedule follow-up call for next week,Too busy right now,,cortex-llm-v1.2,2024-01-13 16:06:09,2024-01-13 15:51:09
ENR000015,CALL000015,0.057,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,Just had service done,,cortex-llm-v1.2,2024-01-05 17:18:55,2024-01-05 17:06:55
ENR000016,CALL000016,-0.097,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,Not ready to commit,,cortex-llm-v1.2,2024-01-13 09:49:35,2024-01-13 09:31:35
ENR000017,CALL000017,-0.086,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send service coupon via email,,,cortex-llm-v1.2,2024-01-25 11:45:08,2024-01-25 11:34:08
ENR000018,CALL000018,0.214,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send recall information via email,,,cortex-llm-v1.2,2024-01-28 10:59:41,2024-01-28 10:42:41
ENR000019,CALL000019,0.402,positive,Agent notified the customer of an open safety recall on their 2019 BMW Equinox and scheduled a free recall repair on January 26.,service_appointment,Send service coupon via email,,,cortex-llm-v1.2,2024-01-21 15:32:20,2024-01-21 15:24:20
ENR000020,CALL000020,0.203,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,Just had service done,,cortex-llm-v1.2,2024-01-14 16:33:09,2024-01-14 16:26:09
ENR000021,CALL000021,0.47,positive,Agent reminded the customer about their overdue oil change for their 2021 BMW Camry and scheduled service on January 20.,service_appointment,No follow-up needed — appointment confirmed,Already have a mechanic,,cortex-llm-v1.2,2024-01-15 10:14:48,2024-01-15 10:08:48
ENR000022,CALL000022,0.184,neutral,Agent notified the customer of an open safety recall on their 2020 BMW Accord and scheduled a free recall repair on January 22.,service_appointment,No follow-up needed — appointment confirmed,,,cortex-llm-v1.2,2024-01-19 16:30:03,2024-01-19 16:19:03
ENR000023,CALL000023,0.309,positive,Agent successfully scheduled a Multi-Point Inspection appointment for the customer's 2022 Chevrolet Camry on January 14.,service_appointment,No follow-up needed — appointment confirmed,,2024-01-14,cortex-llm-v1.2,2024-01-12 18:02:19,2024-01-12 17:57:19
ENR000024,CALL000024,-0.023,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,Just had service done,,cortex-llm-v1.2,2024-01-18 18:19:53,2024-01-18 17:54:53
ENR000025,CALL000025,0.371,positive,Agent successfully scheduled a Tire Rotation appointment for the customer's 2021 Toyota Equinox on January 23.,service_appointment,Transfer to sales team,,2024-01-23,cortex-llm-v1.2,2024-01-22 11:13:22,2024-01-22 10:49:22
ENR000026,CALL000026,0.511,positive,Agent notified the customer of an open safety recall on their 2019 BMW Accord and scheduled a free recall repair on January 28.,service_appointment,Send appointment confirmation text,,2024-01-28,cortex-llm-v1.2,2024-01-27 18:11:20,2024-01-27 17:57:20
ENR000027,CALL000027,0.226,neutral,Agent successfully scheduled a Fuel System Service appointment for the customer's 2020 Chevrolet 3 Series on February 01.,service_appointment,Send recall information via email,Already have a mechanic,,cortex-llm-v1.2,2024-01-24 14:19:51,2024-01-24 14:12:51
ENR000028,CALL000028,0.13,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send appointment confirmation text,,,cortex-llm-v1.2,2024-01-21 12:24:59,2024-01-21 11:58:59
ENR000029,CALL000029,0.146,neutral,Agent discussed lease maturity options with the customer regarding their 2021 Honda and scheduled a sales consultation on January 15.,sales_appointment,Send service coupon via email,,2024-01-15,cortex-llm-v1.2,2024-01-14 08:28:57,2024-01-14 08:12:57
ENR000030,CALL000030,0.05,neutral,Agent notified the customer of an open safety recall on their 2019 Chevrolet Accord and scheduled a free recall repair on February 06.,service_appointment,Log callback for 2 weeks,,2024-02-06,cortex-llm-v1.2,2024-01-27 14:30:56,2024-01-27 14:12:56
ENR000031,CALL000031,0.063,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send recall information via email,Already have a mechanic,,cortex-llm-v1.2,2024-01-19 11:47:49,2024-01-19 11:30:49
ENR000032,CALL000032,0.019,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Transfer to sales team,Too busy right now,,cortex-llm-v1.2,2024-01-19 12:39:17,2024-01-19 12:26:17
ENR000033,CALL000033,0.216,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,Already have a mechanic,,cortex-llm-v1.2,2024-01-13 14:26:33,2024-01-13 14:17:33
ENR000034,CALL000034,0.551,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,,,cortex-llm-v1.2,2024-01-06 10:51:02,2024-01-06 10:39:02
ENR000035,CALL000035,0.255,neutral,Agent successfully scheduled a Brake Inspection appointment for the customer's 2019 BMW Accord on January 26.,service_appointment,Escalate to service manager,,2024-01-26,cortex-llm-v1.2,2024-01-19 11:27:50,2024-01-19 11:00:50
ENR000036,CALL000036,0.731,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Add to retention campaign,Too expensive,,cortex-llm-v1.2,2024-01-08 10:56:33,2024-01-08 10:34:33
ENR000037,CALL000037,0.105,neutral,Agent reminded the customer about their overdue oil change for their 2022 BMW Camry and scheduled service on February 02.,service_appointment,Mark as do-not-call and update CRM,Just had service done,,cortex-llm-v1.2,2024-01-27 09:31:57,2024-01-27 09:24:57
