MESSAGE_ID,DEALER_ID,CUSTOMER_ID,CALL_ID,DIRECTION,BODY,STATUS,SENT_AT,CREATED_AT
TXT000001,DLR004,CUS00029,CALL004182,outbound,"Hi Steven, your 2020 BMW is due for an oil change. Book online or call Gulf Coast Chevrolet. Reply STOP to opt out.",delivered,2024-01-11 15:00:00,2024-01-11 15:00:00
TXT000002,DLR002,CUS00321,CALL012295,outbound,Bay Area Honda: Parts for your 2021 Ford have arrived. Call us to schedule your repair appointment.,delivered,2024-01-24 11:00:00,2024-01-24 11:00:00
TXT000003,DLR005,CUS00513,CALL002372,inbound,Coastal BMW: Parts for your 2020 Ford have arrived. Call us to schedule your repair appointment.,delivered,2024-01-29 10:00:00,2024-01-29 10:00:00
TXT000004,DLR002,CUS00622,CALL002345,outbound,"Hi Lauren, this is a courtesy reminder about your lease maturity. Contact Bay Area Honda to discuss your options.",delivered,2024-01-16 08:00:00,2024-01-16 08:00:00
TXT000005,DLR005,CUS00707,CALL012049,outbound,Coastal BMW: Parts for your 2021 BMW have arrived. Call us to schedule your repair appointment.,delivered,2024-01-17 10:00:00,2024-01-17 10:00:00
TXT000006,DLR005,CUS01776,CALL008322,inbound,"Hi Jennifer, your 2021 Honda is due for an oil change. Book online or call Coastal BMW. Reply STOP to opt out.",sent,2024-01-08 16:00:00,2024-01-08 16:00:00
TXT000007,DLR002,CUS01476,CALL012002,outbound,"Hi Jennifer, your 2022 BMW is due for an oil change. Book online or call Bay Area Honda. Reply STOP to opt out.",delivered,2024-01-26 13:00:00,2024-01-26 13:00:00
TXT000008,DLR002,CUS00854,CALL010964,outbound,Reminder: Your service appointment at Bay Area Honda is tomorrow at 3:30 PM. See you then!,delivered,2024-01-21 15:00:00,2024-01-21 15:00:00
TXT000009,DLR001,CUS00067,,outbound,Hi Michael! Your 2020 Chevrolet is ready for pickup at Sunshine Toyota. Please call us at your convenience.,sent,2024-01-26 13:00:00,2024-01-26 13:00:00
TXT000010,DLR001,CUS00202,,outbound,"Hi Lauren, your 2022 Toyota is due for an oil change. Book online or call Sunshine Toyota. Reply STOP to opt out.",received,2024-01-25 12:00:00,2024-01-25 12:00:00
TXT000011,DLR001,CUS01893,CALL009755,outbound,Hi David! Your 2022 Honda is ready for pickup at Sunshine Toyota. Please call us at your convenience.,failed,2024-01-28 13:00:00,2024-01-28 13:00:00
TXT000012,DLR002,CUS01827,,outbound,"Hi Mark, your 2019 Toyota is due for an oil change. Book online or call Bay Area Honda. Reply STOP to opt out.",delivered,2024-01-02 16:00:00,2024-01-02 16:00:00
TXT000013,DLR004,CUS01574,CALL009196,outbound,"Hi Nicole, this is a courtesy reminder about your lease maturity. Contact Gulf Coast Chevrolet to discuss your options.",delivered,2024-01-04 09:00:00,2024-01-04 09:00:00
TXT000014,DLR001,CUS00304,CALL002097,outbound,Sunshine Toyota: Your 2022 Ford has an open recall. The repair is FREE. Call us to schedule: (877) 528-8961.,received,2024-01-24 09:00:00,2024-01-24 09:00:00
TXT000015,DLR004,CUS00938,CALL004850,outbound,Gulf Coast Chevrolet: Your 2022 Toyota has an open recall. The repair is FREE. Call us to schedule: (735) 576-1731.,delivered,2024-01-11 12:00:00,2024-01-11 12:00:00
TXT000016,DLR001,CUS00091,,outbound,"Hi James, this is Sunshine Toyota. Your 2022 BMW appointment is confirmed for January 10. Reply STOP to opt out.",delivered,2024-01-08 15:00:00,2024-01-08 15:00:00
TXT000017,DLR003,CUS01303,,outbound,Lakeland Ford: Parts for your 2022 Ford have arrived. Call us to schedule your repair appointment.,delivered,2024-01-01 08:00:00,2024-01-01 08:00:00
TXT000018,DLR001,CUS01102,CALL000540,outbound,Reminder: Your service appointment at Sunshine Toyota is tomorrow at 11:00 AM. See you then!,delivered,2024-01-29 14:00:00,2024-01-29 14:00:00
TXT000019,DLR005,CUS01020,CALL010485,outbound,Reminder: Your service appointment at Coastal BMW is tomorrow at 4:00 PM. See you then!,failed,2024-01-05 12:00:00,2024-01-05 12:00:00
TXT000020,DLR005,CUS01719,,outbound,"Hi William, this is Coastal BMW. Your 2022 Toyota appointment is confirmed for January 20. Reply STOP to opt out.",delivered,2024-01-14 20:00:00,2024-01-14 20:00:00
TXT000021,DLR002,CUS00254,,outbound,"Hi Nicole, this is a courtesy reminder about your lease maturity. Contact Bay Area Honda to discuss your options.",sent,2024-01-17 20:00:00,2024-01-17 20:00:00
TXT000022,DLR003,CUS01967,,inbound,"Hi Brian, this is Lakeland Ford. Your 2020 Chevrolet appointment is confirmed for January 24. Reply STOP to opt out.",sent,2024-01-18 14:00:00,2024-01-18 14:00:00
TXT000023,DLR003,CUS01167,CALL007743,outbound,"Hi Mark, your 2021 Toyota is due for an oil change. Book online or call Lakeland Ford. Reply STOP to opt out.",delivered,2024-01-12 17:00:00,2024-01-12 17:00:00
TXT000024,DLR004,CUS01639,CALL014754,inbound,Reminder: Your service appointment at Gulf Coast Chevrolet is tomorrow at 9:30 AM. See you then!,sent,2024-01-29 13:00:00,2024-01-29 13:00:00
TXT000025,DLR001,CUS00155,CALL002255,outbound,"Hi Robert, this is a courtesy reminder about your lease maturity. Contact Sunshine Toyota to discuss your options.",sent,2024-01-10 15:00:00,2024-01-10 15:00:00
TXT000026,DLR002,CUS00024,CALL012708,outbound,Bay Area Honda: Parts for your 2019 Chevrolet have arrived. Call us to schedule your repair appointment.,delivered,2024-01-02 17:00:00,2024-01-02 17:00:00
TXT000027,DLR002,CUS00333,CALL010741,outbound,Hi David! Your 2019 Honda is ready for pickup at Bay Area Honda. Please call us at your convenience.,delivered,2024-01-29 10:00:00,2024-01-29 10:00:00
TXT000028,DLR003,CUS00251,CALL002689,inbound,"Hi Carlos, this is a courtesy reminder about your lease maturity. Contact Lakeland Ford to discuss your options.",delivered,2024-01-15 16:00:00,2024-01-15 16:00:00
TXT000029,DLR004,CUS00212,,outbound,Reminder: Your service appointment at Gulf Coast Chevrolet is tomorrow at 10:30 AM. See you then!,delivered,2024-01-06 14:00:00,2024-01-06 14:00:00
TXT000030,DLR002,CUS00325,,outbound,Reminder: Your service appointment at Bay Area Honda is tomorrow at 11:30 AM. See you then!,delivered,2024-01-08 18:00:00,2024-01-08 18:00:00
TXT000031,DLR004,CUS00980,CALL007187,outbound,Gulf Coast Chevrolet: Your 2020 Toyota has an open recall. The repair is FREE. Call us to schedule: (874) 854-5181.,received,2024-01-30 18:00:00,2024-01-30 18:00:00
